YCR065W	YLR228C	YGR288W	YDR026C	YDR049W	YGL209W	YMR280C	YGL035C	YJL089W	YPL248C	YLR377C	YDR009W	YBR019C	YBR020W	YBR035C	YDR277C	YBR050C	YHR043C	YHR062C	YER023W	YFL054C	YLL043W	YDR516C	YDL151C	YMR202W	YDL149W	YNL117W	YER065C	YBR101C	YLR042C	YHR092C	YJR095W	YLR044C	YHR094C	YEL069C	YOL126C	YKR075C	YKR097W	YMR011W	YBR126C	YIL162W	YDR345C	YMR087W	YMR086CA	YLL066C	YDR317W	YDL245C	YEL070W	YAR009C	YLL065W	YDR040C	YER190W	YNL339C	YCR018CA	YCR019W	YJL155C	YNL107W	YBR022W	YDL110C	YNL012W	YOR144C	MAL61	YGR173W	YDR070C	YDR499W	YIL089W	YEL056W	YLR457C	YNL108C	YML067C	YJL199C	YDR088C	YNL013C	YBR021W	YDR038C	YLR161W	YLR080W	YNR081W	YPL043W	YDL025C	MEL1	YOR076C	YJR010CA	YDR356W	YDR491C	YLR128W	YDL031W	YCL044C	YGR102C	YHR109W	YOL014W	YGR172C	YEL057C	YLR127C	YEL061C	YGR287C	YDR083W	YLR459W	YOR119C	YHL010C
0.6409026	0.4708262	0.6296000	0.0202520	0.2934125	0.0262823	0.0105147	0.0090876	0.0048800	0.7937038	0.5908498	0.1221986	0.2822502	0.4582921	0.0001667	0.5617329	0.0334545	0.8204390	0.3060502	0.4574300	0.0357055	0.2488650	0.0524733	0.5812325	0.0980242	0.6678039	0.7032282	0.2596724	0.4828437	0.6762709	0.6829935	0.7361411	0.0000021	0.5366485	0.2164162	0.6417550	0.0689312	0.0000296	0.6756175	0.1685974	0.3478967	0.4615922	0.4309020	0.0158336	0.6239121	0.0608651	0.3857505	0.4432120	0.0041572	0.7853046	0.6611236	0.5735900	0.4470766	0.2375832	0.6245020	0.0730847	0.0000000	0.1793934	0.6453634	0.6597701	0.7522268	0.4071469	0.5658511	0.2608224	0.0000480	0.0324678	0.8291653	0.0000000	0.6875695	0.5885321	0.2365200	0.0000000	0.0000000	0.6066526	0.4499884	0.7050374	0.5135198	0.4678525	0.4164207	0.6102623	0.0652343	0.6640215	0.0020735	0.1570280	0.5900716	0.6244245	0.2497924	0.5091126	0.1527478	0.3129415	0.5318927	0.7184846	0.2896832	0.6701196	0.7631865	0.1000872	0.4964607	0.5750255	0.5905298	0.6819749
0.0000000	0.2864535	0.0348721	0.4678309	0.6232919	0.3516210	0.4629728	0.5900313	0.4262570	0.3219374	0.1585233	0.1582308	0.4778609	0.6540184	0.7570190	0.1033707	0.6373962	0.0000000	0.6435775	0.2591903	0.2174877	0.0002178	0.4959428	0.5824256	0.2565515	0.0021976	0.1189813	0.6845497	0.0480959	0.1050221	0.5516372	0.0003927	0.0181788	0.0000000	0.2468909	0.0832938	0.6851838	0.6593291	0.6095211	0.0000119	0.4997468	0.1025221	0.4708951	0.4062774	0.2133731	0.0000000	0.0000000	0.3341415	0.5795277	0.0507752	0.2643476	0.4159633	0.0793559	0.6702538	0.0380285	0.6521970	0.7369936	0.2380797	0.0000000	0.0000000	0.2135431	0.4073790	0.2581141	0.0000000	0.1764255	0.6461755	0.6653375	0.1711132	0.0000000	0.2758087	0.7002641	0.7127211	0.6321535	0.3407267	0.7004394	0.0968754	0.7557879	0.6442281	0.2648527	0.6428082	0.0179663	0.3620840	0.6197850	0.0377810	0.4037984	0.0018139	0.7007315	0.2503665	0.7032988	0.8317059	0.4039337	0.6405884	0.2185538	0.2684867	0.0000000	0.2006846	0.1076242	0.6553482	0.6115627	0.0000000
0.1449807	0.0129181	0.4845191	0.5655016	0.6316059	0.5608669	0.3238659	0.4725932	0.7443342	0.0046820	0.1078082	0.3358347	0.5242693	0.4716955	0.7087538	0.0000723	0.0339763	0.0000000	0.4841164	0.2585589	0.2133087	0.0012951	0.2844841	0.0499407	0.3508436	0.4663021	0.3990696	0.6590806	0.0623292	0.0000000	0.3773455	0.0402110	0.0612218	0.0061477	0.2481891	0.2666696	0.6628711	0.1405635	0.5117737	0.0009226	0.5974857	0.0986422	0.6860059	0.6057307	0.5281720	0.0000485	0.5574626	0.7488750	0.0723312	0.0770241	0.4154439	0.3595550	0.2542010	0.2313468	0.7649111	0.4955401	0.1539732	0.0000000	0.0502128	0.5381079	0.3570355	0.4116617	0.0000511	0.6216815	0.3307609	0.6532019	0.1591670	0.3042413	0.0001862	0.0007120	0.7486118	0.4237344	0.5581776	0.2511045	0.8082814	0.5988559	0.7101729	0.4761984	0.3757715	0.0076077	0.4172065	0.7489471	0.6432371	0.4943745	0.2594688	0.0178110	0.4031993	0.6052798	0.6888881	0.6147702	0.4941426	0.0002079	0.7483847	0.1543880	0.5887651	0.4742474	0.2703515	0.1977833	0.0005996	0.5557264
0.6689560	0.6910958	0.5746207	0.0278505	0.8321542	0.0165828	0.0011112	0.3719754	0.7288625	0.2137627	0.0001538	0.4057235	0.4524783	0.0000000	0.5097853	0.7230260	0.0041105	0.7397457	0.6683786	0.5443038	0.3821778	0.0255229	0.0917878	0.5195895	0.6563628	0.0025504	0.2592608	0.6332469	0.0476025	0.6592659	0.0642491	0.0000000	0.3573461	0.6005051	0.4012079	0.1269188	0.0018600	0.6506395	0.3817895	0.0267649	0.3091688	0.3859829	0.3482018	0.6065638	0.5976389	0.1858754	0.7154723	0.5248359	0.4233316	0.4311434	0.0050015	0.4693888	0.2272561	0.0238405	0.0678103	0.0293755	0.0341553	0.2640811	0.4250696	0.6858400	0.5237606	0.3304051	0.2342440	0.1730379	0.2617340	0.0368688	0.6746480	0.6018080	0.3723242	0.4440863	0.1897872	0.0000000	0.2401002	0.4924811	0.6731994	0.7343579	0.0376322	0.3872406	0.5166139	0.6429801	0.2445486	0.7031310	0.2500362	0.2816590	0.6877288	0.0001526	0.3205955	0.8063828	0.5532839	0.1563276	0.6833503	0.6130793	0.5084328	0.2245446	0.6938209	0.0006775	0.6252805	0.5088465	0.7452011	0.7813201
0.6334161	0.5931642	0.8082405	0.0000000	0.0000000	0.0081254	0.0022568	0.0007172	0.0051631	0.3665681	0.6875702	0.2218990	0.6841989	0.7338977	0.0000000	0.6987194	0.7750950	0.6758139	0.3286225	0.2548152	0.0092528	0.8700453	0.6321550	0.4348211	0.2894264	0.4647820	0.5100549	0.1589499	0.6529903	0.0000000	0.6009266	0.4307417	0.0310510	0.1256178	0.5289619	0.4500142	0.2040936	0.6060490	0.0533716	0.0165858	0.0009790	0.6313121	0.1880285	0.1813057	0.4353526	0.1595543	0.3662341	0.0954048	0.0001095	0.4139536	0.4947973	0.3237517	0.0000000	0.6387077	0.4862014	0.0789873	0.0412347	0.1235406	0.3836189	0.7088092	0.6135820	0.0017500	0.2742038	0.2363748	0.0000000	0.0000000	0.5119368	0.7084322	0.3951373	0.3681339	0.2164591	0.3488750	0.3861617	0.6911012	0.5527644	0.6876127	0.2701014	0.5361223	0.7416154	0.5587676	0.1266803	0.6609888	0.0023274	0.1684424	0.5009937	0.4947992	0.2783430	0.5915319	0.5740675	0.0083149	0.7009379	0.6392973	0.5511506	0.6057385	0.7382165	0.0571761	0.7225881	0.3815979	0.6107011	0.8001315
0.5522324	0.3417483	0.6010957	0.0412476	0.6371615	0.1109047	0.2233472	0.5665252	0.3608681	0.2991705	0.5465260	0.4000294	0.2161472	0.7026860	0.0266907	0.6980458	0.6790353	0.6044444	0.7211838	0.5507174	0.4952024	0.0000000	0.0026400	0.6418361	0.6098843	0.2617982	0.2265191	0.1983667	0.0001003	0.0019377	0.1130681	0.0119940	0.4207118	0.5849779	0.2231489	0.1370343	0.3290925	0.3529251	0.6238146	0.3747658	0.2922865	0.0096212	0.6784614	0.0000000	0.3015854	0.2529958	0.2481666	0.2748289	0.0297905	0.3143473	0.3152305	0.0940074	0.2197378	0.0000000	0.4195773	0.0955181	0.0715602	0.1682220	0.4544138	0.5058314	0.6702460	0.4973686	0.0719388	0.3512352	0.1296044	0.3776942	0.6560305	0.0000000	0.3031499	0.1250479	0.0881894	0.5345770	0.3103695	0.4678652	0.2965693	0.6698303	0.1129806	0.4155869	0.0356147	0.6549292	0.2975034	0.5898568	0.0055054	0.0071948	0.5617999	0.0557290	0.2573019	0.6364163	0.5548535	0.4493789	0.4516432	0.7894086	0.5159066	0.4372923	0.6730847	0.0707233	0.6604211	0.0000229	0.7220185	0.6576561
0.6744869	0.5903338	0.6398108	0.0762195	0.5542947	0.0382157	0.4876184	0.2661722	0.3372016	0.3065932	0.3346302	0.4269245	0.6858943	0.1935173	0.0365816	0.7221400	0.6072480	0.3413973	0.6317891	0.2909735	0.1487054	0.0044597	0.0011438	0.5884482	0.0625159	0.0077562	0.5128550	0.2350902	0.0002702	0.4008590	0.3500269	0.0012315	0.5228925	0.6472959	0.4372176	0.1088082	0.0025246	0.5934895	0.4699748	0.0082585	0.5412942	0.3649958	0.2435983	0.2730916	0.4957990	0.5708434	0.5153750	0.0610922	0.0002818	0.5550723	0.2329301	0.2977648	0.3380461	0.0400156	0.0929579	0.1049976	0.0351169	0.3404081	0.7342283	0.5020557	0.6225143	0.2601330	0.0379382	0.2386028	0.1282608	0.0845880	0.5394704	0.6124474	0.4218797	0.2130887	0.1354459	0.1795684	0.1314811	0.3853643	0.3454666	0.6008507	0.7057844	0.4183295	0.0139750	0.6492244	0.2593851	0.6080957	0.1582247	0.4025187	0.4852863	0.0011285	0.2813912	0.5572960	0.6895213	0.3170040	0.6261204	0.6463759	0.0000000	0.3148541	0.6691222	0.0024107	0.5084103	0.0001748	0.6624762	0.6660792
0.2073034	0.0679802	0.8115032	0.3837257	0.7145173	0.6345027	0.5474233	0.2215605	0.3679160	0.3650771	0.5472575	0.0005577	0.4800902	0.5489990	0.6887637	0.7477399	0.5695042	0.0978311	0.3679240	0.1342602	0.6789504	0.0008925	0.4013178	0.6170148	0.2239702	0.1446208	0.5264600	0.5169898	0.0003120	0.0000194	0.0749206	0.0107400	0.4426559	0.0454556	0.0000000	0.1240772	0.7019179	0.4839037	0.6791608	0.1983866	0.6673409	0.0000000	0.2073552	0.2972152	0.1946405	0.1301542	0.0789487	0.7091741	0.2801287	0.2163367	0.1191231	0.2532333	0.4807340	0.5439485	0.0969974	0.1624458	0.0464329	0.2874105	0.1435367	0.4417815	0.6323270	0.4291942	0.5260759	0.6039507	0.0626531	0.4547423	0.6714138	0.6314402	0.1049330	0.0080445	0.1933515	0.6363496	0.2757954	0.3620795	0.2112806	0.6384955	0.6015566	0.4822752	0.3561447	0.6671283	0.1320049	0.6673646	0.7051861	0.3814904	0.5517712	0.0039903	0.6622915	0.2006904	0.1040551	0.1980895	0.2627635	0.6120602	0.2371691	0.3968141	0.5575674	0.3144600	0.3270019	0.0224553	0.7275713	0.6106312
0.7323481	0.6422360	0.6770406	0.0501704	0.5865189	0.0398055	0.0892482	0.2848889	0.1339021	0.2989853	0.3963975	0.0130603	0.5466244	0.7100802	0.6490947	0.6584209	0.0045580	0.3574933	0.6045898	0.6857903	0.0064834	0.3217400	0.4812550	0.6724298	0.0850672	0.2279268	0.3176274	0.1282411	0.0003021	0.0155059	0.1429853	0.6851751	0.1153594	0.3833113	0.1444950	0.6205498	0.0010253	0.5643641	0.3518365	0.0832156	0.2227332	0.3858061	0.0638836	0.4304943	0.3467855	0.6828904	0.4533045	0.0535778	0.2034011	0.3193537	0.1691830	0.4928489	0.2986193	0.7172312	0.4889698	0.1112100	0.0005287	0.3286310	0.4309304	0.5349458	0.5741465	0.1956108	0.0434096	0.0943117	0.0003574	0.0424236	0.7358453	0.6175925	0.5289398	0.7454651	0.3231332	0.0736506	0.2526206	0.3483519	0.5011505	0.7740548	0.1008135	0.3900533	0.0024556	0.6962630	0.1999781	0.6666143	0.4047406	0.1922695	0.3355917	0.5896735	0.0356351	0.5121813	0.5250229	0.0000000	0.7241577	0.7685168	0.1277933	0.0000000	0.6535917	0.0006057	0.6259492	0.7876464	0.5302979	0.7033871
0.6079284	0.4758142	0.6711844	0.1040424	0.5455272	0.0490476	0.0135951	0.1166984	0.4451256	0.2267148	0.0016924	0.3061670	0.0000000	0.0000000	0.0577498	0.7367396	0.0283704	0.4476555	0.4080763	0.0438001	0.6932507	0.0000000	0.1197424	0.7598903	0.6083210	0.0015510	0.4967998	0.4256690	0.0939441	0.5357110	0.4060207	0.4912324	0.0000444	0.5816224	0.2709073	0.3608633	0.0000294	0.6725412	0.5673083	0.0079861	0.2135109	0.4153960	0.1939946	0.4163110	0.3022266	0.0000000	0.2824897	0.0104540	0.2954655	0.7760720	0.2581349	0.5489982	0.2792045	0.0000000	0.4391255	0.0948412	0.0013835	0.1250410	0.3915519	0.5411292	0.7950853	0.0970829	0.4411327	0.2641681	0.1428545	0.0000000	0.5868212	0.6755469	0.4709862	0.2196017	0.2968532	0.0342567	0.2533207	0.1991535	0.3591822	0.6307523	0.1528798	0.4192881	0.4268604	0.5077576	0.2195715	0.6378448	0.0012302	0.4001492	0.3313984	0.0036699	0.1464514	0.5231233	0.5544646	0.2901260	0.5023164	0.6675092	0.5145097	0.3753101	0.7486321	0.0740070	0.4156153	0.1446404	0.6194780	0.5971644
