YMR043W	YAL051W	YLR131C	YOR140W	YGR044C	YCR018C	YDR146C	YKL185W	YCR097W	YCL066W	YJL194W	YFR017C	YJL160C	YKL163W	YJL159W	YKL178C	YER078WA	YER079W	YOR138C	YER078C	YMR165C	YKR040C	YKR042W	YLR079W	YNL327W	YJL077WB	YDL179W	YNL328C	YGL201C	YMR262W	YML125C	STA3	YJL080C	YGR086C	YIL069C	YGL028C	YKL164C	YIL158W	YMR261C	YJL078C	STA2	STA1	YNL160W	YPL187W	YBR070C	YIL122W	YBR071W	YJL200C	YGL227W	YNL079C	YNL078W	YJL198W	YKR097W	YBR157C	YGL008C	YLR105C	YGL089C	YLR286C	YGR041W	YNL146CA	YNL289W	YGR189C	YDL127W	YJL196C	YLR438CA	YBR158W	YFL022C	YPL025C	YPL024W	YOR236W	YDR452W	YNL145W	YER188CA	YNL241C	YIL099W	YJR044C	YLR439W	YER190W	YLR066W	YNL335W	YIL009W	YJL207C	YKL079W	YER127W	YGL226CA	YER074WA	YNR062C	YPL262W	YPR113W	YGL140C	YDR112W	YDR389W	YNR063W	YDR397C	YGL139W	YNL097CA	YNL238W	YPL050C	YLR194C	YPL044C
0.0562995	0.6811204	0.3739494	0.0133476	0.7412510	0.0791912	0.4498012	0.0242013	0.0374438	0.1759795	0.4792232	0.3183525	0.5634137	0.1506570	0.7033715	0.0013187	0.0134114	0.3367949	0.0674313	0.2392701	0.2420283	0.4848751	0.3758727	0.0773697	0.1007572	0.3661380	0.1070041	0.3547218	0.3603778	0.2015779	0.0178500	0.5540858	0.6254946	0.1469057	0.6431657	0.5872669	0.3368459	0.5396600	0.4838026	0.3701653	0.7021808	0.0090515	0.0096997	0.0705847	0.0079783	0.1292492	0.3041412	0.1243022	0.1332731	0.3947720	0.4931642	0.0000000	0.7988194	0.5541062	0.0417823	0.3596606	0.2125728	0.6596002	0.3187930	0.6625096	0.6848549	0.7093339	0.5875467	0.0055600	0.6850185	0.1557958	0.0762567	0.3114815	0.0097718	0.0078953	0.0007587	0.5541675	0.6945390	0.5412568	0.4467430	0.7631068	0.2365510	0.3963953	0.8472169	0.4372229	0.2870829	0.2893991	0.4244186	0.3838075	0.5806084	0.6535861	0.0838994	0.0000000	0.3710851	0.0963676	0.4610140	0.7977892	0.3628085	0.5226423	0.3239535	0.2053160	0.4767229	0.6726626	0.2489055	0.5865995
0.0977045	0.7287633	0.1748312	0.6762695	0.2494697	0.6230680	0.0840387	0.1108621	0.6239605	0.5076954	0.2806902	0.0649738	0.6087948	0.6042175	0.6364122	0.0013738	0.6279083	0.0027725	0.5869216	0.6138514	0.3855577	0.6833837	0.4963890	0.0004353	0.4904578	0.5833845	0.1538559	0.7266116	0.3502236	0.0041683	0.4077895	0.5265418	0.3425004	0.4796734	0.5702428	0.3337512	0.7411153	0.0300286	0.0000000	0.0214385	0.6989656	0.6657427	0.0820742	0.4344737	0.3133870	0.6623324	0.0365363	0.1236318	0.4744982	0.1919877	0.7113034	0.4176650	0.5782282	0.0105839	0.2362086	0.3698861	0.0028534	0.7151505	0.1376126	0.2441108	0.6223360	0.0001593	0.3534873	0.0193213	0.4731893	0.6915398	0.0873159	0.4780066	0.1696157	0.6425212	0.0240274	0.0802152	0.2856590	0.6743701	0.0070904	0.4862940	0.3473771	0.0014148	0.3525821	0.8142231	0.6936530	0.7654525	0.6207908	0.5318678	0.0936186	0.0000000	0.1443123	0.0033369	0.4094301	0.6832391	0.2907614	0.6412390	0.7817317	0.0162642	0.0053478	0.0276527	0.7193890	0.3923740	0.2709281	0.6547367
0.0913758	0.7529021	0.0534680	0.0084504	0.6749233	0.0366968	0.4123907	0.0005770	0.0280056	0.0238484	0.5242537	0.4184250	0.8005132	0.4233100	0.4530799	0.6648508	0.4420523	0.3115313	0.1307906	0.3572579	0.3254783	0.4202176	0.1339822	0.2920818	0.0064588	0.0301784	0.6997026	0.7918958	0.3616744	0.7785377	0.0229380	0.5718197	0.2494584	0.4861190	0.5577659	0.1875655	0.2531225	0.4174900	0.4100189	0.2239926	0.2755524	0.0010534	0.0000000	0.0258443	0.0316939	0.5933828	0.2726559	0.2744528	0.2129096	0.0010037	0.2241243	0.3771832	0.0000000	0.3244279	0.1114043	0.5165763	0.4021416	0.6417397	0.5919253	0.4052500	0.0000456	0.0005807	0.5195835	0.2583962	0.5073992	0.0711092	0.6940692	0.6558344	0.0000000	0.0000000	0.0013631	0.3056866	0.0987073	0.0021346	0.5215415	0.5442603	0.2558804	0.6165828	0.6661566	0.1368980	0.4314804	0.0868756	0.7283462	0.7466873	0.6523386	0.2671668	0.4651167	0.0289657	0.0010576	0.1072216	0.5261279	0.0469217	0.6253330	0.5276976	0.5289603	0.0355790	0.2905853	0.5104304	0.2918730	0.6022785
0.0545058	0.2170165	0.1002072	0.0523167	0.0029294	0.5442997	0.4983836	0.0027443	0.5920379	0.3965147	0.0000290	0.0000000	0.6611402	0.1997377	0.6056515	0.0015910	0.7029067	0.0004096	0.5137539	0.5036396	0.7416149	0.4353626	0.0015186	0.4085278	0.0113763	0.7407643	0.6891237	0.6342901	0.5473490	0.6230621	0.5055358	0.4760388	0.4949796	0.0002918	0.6373640	0.0253679	0.3367450	0.4733350	0.1054270	0.3897879	0.4974246	0.0014053	0.0302130	0.3669587	0.0353035	0.5775886	0.3197040	0.6152433	0.7081487	0.6507036	0.0270529	0.5544794	0.7599514	0.2849633	0.4238537	0.3666110	0.5955551	0.5524584	0.6869185	0.4476259	0.5761257	0.0000000	0.4770250	0.3149740	0.5294445	0.0461934	0.6268000	0.0518700	0.5398871	0.6448379	0.0000246	0.3174512	0.0548565	0.0318185	0.7120502	0.1563998	0.1813499	0.7118172	0.0005190	0.6304659	0.7021564	0.1033633	0.6888332	0.7012440	0.5994092	0.5896538	0.2665087	0.3570027	0.1113597	0.0000000	0.6691953	0.6870445	0.7703959	0.7381797	0.3150546	0.0045867	0.3640318	0.4447293	0.2626614	0.5707634
0.1170035	0.7469383	0.0565387	0.4351421	0.4512924	0.1645155	0.3529408	0.0321410	0.0000000	0.1074919	0.4107571	0.3379061	0.6602851	0.4696086	0.3844761	0.0017810	0.4311605	0.5754625	0.2095405	0.2184563	0.6670020	0.5803210	0.3830328	0.2937882	0.0152944	0.6145863	0.2641864	0.7461586	0.5479998	0.3064234	0.0581605	0.7767792	0.5593449	0.6366964	0.7071637	0.5991108	0.3202523	0.2766713	0.4619401	0.1536017	0.1012935	0.0002906	0.0244776	0.4178828	0.0283896	0.0235852	0.2665611	0.5958321	0.3495023	0.7077105	0.4420607	0.3282468	0.5178392	0.2600768	0.3348201	0.4600160	0.3294725	0.4295987	0.7000681	0.5935046	0.2420366	0.0001425	0.4965938	0.0227458	0.4250740	0.0456042	0.2984228	0.0009184	0.5982605	0.0880782	0.0000807	0.2251480	0.0185843	0.2623070	0.5935930	0.1592636	0.0496714	0.0542519	0.8414004	0.0509235	0.2957533	0.0171488	0.7898304	0.5567255	0.4805115	0.4893689	0.0683031	0.0141071	0.0015172	0.2095274	0.1813993	0.6123445	0.5480780	0.6469174	0.4192337	0.0288925	0.3954040	0.6423611	0.4676240	0.6943391
0.0000322	0.6686975	0.0343643	0.0000000	0.0071032	0.5693378	0.6838032	0.0224826	0.6319889	0.4517559	0.7277749	0.1899029	0.3326478	0.5135914	0.1479383	0.0668709	0.5902435	0.0007353	0.4019343	0.5655702	0.0002051	0.6471462	0.7732625	0.6876881	0.0319235	0.6686116	0.2824324	0.7985898	0.7566895	0.3085206	0.1927199	0.4011529	0.1229973	0.0018300	0.3874257	0.4434963	0.0232291	0.6635746	0.1578746	0.2615268	0.6261117	0.0000399	0.0000595	0.4262544	0.0167733	0.3692432	0.3527743	0.5396700	0.0000547	0.0135565	0.1559773	0.1919936	0.6563481	0.5100587	0.6135205	0.2458282	0.1125215	0.0000000	0.6951698	0.6478894	0.4859440	0.7464999	0.6140958	0.4774415	0.5863774	0.0000000	0.3185227	0.6231713	0.4649453	0.4037522	0.4265137	0.3404228	0.0123204	0.0004168	0.3879681	0.0090742	0.4095948	0.6299103	0.0001691	0.2378836	0.5383613	0.1674745	0.6199238	0.1106536	0.5880812	0.6401037	0.2651600	0.0025229	0.0060920	0.1249322	0.4182892	0.6185732	0.3554634	0.5694526	0.6455879	0.0009442	0.2434716	0.6901236	0.1640315	0.5721784
0.0000000	0.5945452	0.0043044	0.7492452	0.4558590	0.0497751	0.6432668	0.0073297	0.6130781	0.4498464	0.5713028	0.4113109	0.7166440	0.2465777	0.6459348	0.1249056	0.0000000	0.4767114	0.2430486	0.3097152	0.0024456	0.7643661	0.0068001	0.5540988	0.0001040	0.0000000	0.7568816	0.7497756	0.3711225	0.7380437	0.4929828	0.4165507	0.0016535	0.4580661	0.4449737	0.2140231	0.1312429	0.4617079	0.2654823	0.3335164	0.7248759	0.3258379	0.0156968	0.1092169	0.0265714	0.0158301	0.3130510	0.2420361	0.0001081	0.6405371	0.4203937	0.2414871	0.5818467	0.3768272	0.0000210	0.5521880	0.0000224	0.6642713	0.6241562	0.4590263	0.1560085	0.0000657	0.0584823	0.0000316	0.3602903	0.0023191	0.5180161	0.2516942	0.6542740	0.0789081	0.0021920	0.4823117	0.0000434	0.1259559	0.0724248	0.1450998	0.4633497	0.1944733	0.7848681	0.4226351	0.3483569	0.0158491	0.6506237	0.7691611	0.7253671	0.7758835	0.5733734	0.0246823	0.0011726	0.1139651	0.6635424	0.6681349	0.5967708	0.3779412	0.6476791	0.0600602	0.3830929	0.6396493	0.2049508	0.2376729
0.0429594	0.4939233	0.1985274	0.6443087	0.4674490	0.6810637	0.0000000	0.5360150	0.6316406	0.3937185	0.0014082	0.1931541	0.2665324	0.5364158	0.0786925	0.0073704	0.0000000	0.3001613	0.3930766	0.1868560	0.0000000	0.3481723	0.5085295	0.0000000	0.2140645	0.7122278	0.1601160	0.7084432	0.7560131	0.0000000	0.0000000	0.5060190	0.4163919	0.4797757	0.3922077	0.0909082	0.6497192	0.1223476	0.5966373	0.2347884	0.6769071	0.0654502	0.4476493	0.0633410	0.0000000	0.2730999	0.2232740	0.5934404	0.0041293	0.0773372	0.4906327	0.6033766	0.6603263	0.0593362	0.0032381	0.6322211	0.3422479	0.6861778	0.8004483	0.8714174	0.6387406	0.0000000	0.0000000	0.2445201	0.4944525	0.7175706	0.4492031	0.5307899	0.2011313	0.5012687	0.5793788	0.7024694	0.4629710	0.0271695	0.0604500	0.6023820	0.1984945	0.1950105	0.5775873	0.0000000	0.1993311	0.7262406	0.1494765	0.2301338	0.0000000	0.5909138	0.1759254	0.0639204	0.0002067	0.2521213	0.3794106	0.6595956	0.3988085	0.0817447	0.0000000	0.0773533	0.6477244	0.6433403	0.3448815	0.7370350
0.0000253	0.6687415	0.6543536	0.6153202	0.7633213	0.6744113	0.1053343	0.7620429	0.0376019	0.2785324	0.4743006	0.0058450	0.7404933	0.4258165	0.0519225	0.5157507	0.4737707	0.4406783	0.2121292	0.3338400	0.3248407	0.4689226	0.2782241	0.0006139	0.1762895	0.1657557	0.0176163	0.6340682	0.6529388	0.0153537	0.0008504	0.2126855	0.5983364	0.5906788	0.6952714	0.0018014	0.2928765	0.0000004	0.5836384	0.4686614	0.5043113	0.0639331	0.3207787	0.0098185	0.4030027	0.2471546	0.5894389	0.1633692	0.4234316	0.4680907	0.2020307	0.2207459	0.5986056	0.5573721	0.1363745	0.5778274	0.1975927	0.7854032	0.7255376	0.2919836	0.6461832	0.2129783	0.5772921	0.2841981	0.4790157	0.8258419	0.3861603	0.0429506	0.0553842	0.1877385	0.6290275	0.5300695	0.6057075	0.5545823	0.0000640	0.5679481	0.5309603	0.0284761	0.6094137	0.7903592	0.0290426	0.6968026	0.2728872	0.0916626	0.0472167	0.3571822	0.6057283	0.0261498	0.3777148	0.5339533	0.0020524	0.2070657	0.5872610	0.0048357	0.5202658	0.5188936	0.3482240	0.0801819	0.6367553	0.4448273
0.0217702	0.4482801	0.0219734	0.7653796	0.0115358	0.5692316	0.0919229	0.0005648	0.6087304	0.3909160	0.6704656	0.1384676	0.6852945	0.6173864	0.0037422	0.0139944	0.0198226	0.0564731	0.6652429	0.3378031	0.0011603	0.0000026	0.3636821	0.4823795	0.4236832	0.4568543	0.4994611	0.1516215	0.3790856	0.5803916	0.6891596	0.0000000	0.0032627	0.0002950	0.6735334	0.1679140	0.6582746	0.2615022	0.5495998	0.0029960	0.5604944	0.0002433	0.2483345	0.0925651	0.1342287	0.7168582	0.6627588	0.6477201	0.0000038	0.2253338	0.6381617	0.9271742	0.6562951	0.2227623	0.7978656	0.0000722	0.4991463	0.6706696	0.7307190	0.2989497	0.2521308	0.3128353	0.0393408	0.6435090	0.5339044	0.6070954	0.0089213	0.0000097	0.4767250	0.6846242	0.1637127	0.3019439	0.3483168	0.4508401	0.7819452	0.3909478	0.5443779	0.6269327	0.5412513	0.4832354	0.1196492	0.7389251	0.1619810	0.5683386	0.3589408	0.6931117	0.5482109	0.0221805	0.0000443	0.5759561	0.7237965	0.6439757	0.0000000	0.6894018	0.0271620	0.3083508	0.2407650	0.2289405	0.8142205	0.6135993
