YMR164C	YBR083W	YLR403W	YDR463W	YDR081C	YCR096C	YCR040W	YPR199C	YJL110C	YCR097W	YDR317W	YCR039C	YCR107W	YKL178C	YBR281C	YBR282W	YKL161C	YLR022C	YDR098CA	YDR103W	YDR098CB	YBR040W	YCR041W	YLL065W	YLR463C	YLR467W	YLR465C	YCR105W	YOR315W	YER190W	YGL001C	YDR042C	YCR018CA	YCR019W	YDR084C	YER189W	YNL337W	YDR494W	YLR265C	YLL047W	YPR021C	YBR186W	YLL048C	YNL105W	YBR121C	YBR185C	YKL136W	YPL178W	YDR440W	YBL070C	YBL068W	YKR008W	YGL247W	YCR083W	YDR180W	YGR191W	YDL062W	YLR175W	YLR322W	YGL169W	YGL170C	YOR082C	YML048WA	YGR039W	YDR047W	YBR184W	YLR094C	YDL152W	YDR415C	YLR046C	YKL095W	YOL057W	YCL012W	YNL267W	YDL126C	YOR129C	YBR012WA	YMR232W	YOR084W	YPL060CA	YGL192W	YGL156W	YLR185W	YKR004C	YCL014W	YKR041W	YER137CA	YIL038C	YBR012WB	YBL018C	YAR010C	YNL256W	YDR416W	YKR056W	YNL211C	YNL257C	YOR077W	YER120W	YBL017C	YER118C
0.0450066	0.2915820	0.4304901	0.3482027	0.7031225	0.4315251	0.0000209	0.6304010	0.0000000	0.4528736	0.0000423	0.0432386	0.4113139	0.3824115	0.5047804	0.2127520	0.2953472	0.5612453	0.6379600	0.5405898	0.2855289	0.0782644	0.4016301	0.2275356	0.5973909	0.2408586	0.6935096	0.4390009	0.3775751	0.4206319	0.6699317	0.3491255	0.0000000	0.6339927	0.2879205	0.0000000	0.4650858	0.6605530	0.6956443	0.5877279	0.0023031	0.6878700	0.5362769	0.5621161	0.0041839	0.0612945	0.6800974	0.1811246	0.6767427	0.7152081	0.4363149	0.6279524	0.0095010	0.4423750	0.0579131	0.0076169	0.0128903	0.5892978	0.6189062	0.7460063	0.0000001	0.0000000	0.3641755	0.4140619	0.0000000	0.6969046	0.2401444	0.0012996	0.1929294	0.6338351	0.6305928	0.3518825	0.4677304	0.4909162	0.4459082	0.5411791	0.4988585	0.6720710	0.6041743	0.0000796	0.5506988	0.0000000	0.0833250	0.2974777	0.3710483	0.4869065	0.5475286	0.5258803	0.2154016	0.4203692	0.0503744	0.7246354	0.6222304	0.5733736	0.2665269	0.6492113	0.0072389	0.5230400	0.0009252	0.6980573
0.3600694	0.5387179	0.4646040	0.5431245	0.6451550	0.5571137	0.1390278	0.3135814	0.6456510	0.6556791	0.1643606	0.0176650	0.0905016	0.0227708	0.5641450	0.1828797	0.4858925	0.1758825	0.3479302	0.4714663	0.0179388	0.0587416	0.1803304	0.5243302	0.1380323	0.0444877	0.1420639	0.1880633	0.0575639	0.1718431	0.4913819	0.6633364	0.0078350	0.0653027	0.6385529	0.6395907	0.1313139	0.5528550	0.0472581	0.0313300	0.0049038	0.6688103	0.1808775	0.6071491	0.0172337	0.0566938	0.5599220	0.5646914	0.1615482	0.6212785	0.2262854	0.0757197	0.7396255	0.7035380	0.0293374	0.0260888	0.3215040	0.6524851	0.5323972	0.5412106	0.3900106	0.0975349	0.6718359	0.4894569	0.0466377	0.6601415	0.4386822	0.0480476	0.2526601	0.5683492	0.5792499	0.2497980	0.2590600	0.5950837	0.5964349	0.2313851	0.4707109	0.2855332	0.2158032	0.0920479	0.5872516	0.5984678	0.2001299	0.3720939	0.1040764	0.2189027	0.6289808	0.1478949	0.4501980	0.6771531	0.0452987	0.4044121	0.2527063	0.1406848	0.3694750	0.3040101	0.1437318	0.1409252	0.0350731	0.6790293
0.4543151	0.7295809	0.5050204	0.5719695	0.5648493	0.0000302	0.0862722	0.6962335	0.4711613	0.4885000	0.0999590	0.1171345	0.0273495	0.0291181	0.8224547	0.2618373	0.5139080	0.4561297	0.3293115	0.5845875	0.1205060	0.1157238	0.1621360	0.6060982	0.0825544	0.0086196	0.3080881	0.0683897	0.4606897	0.2194640	0.5551589	0.5338561	0.0104482	0.5069341	0.3743957	0.2983801	0.1143595	0.6158119	0.0144316	0.0107825	0.0009984	0.6148335	0.2914768	0.6357681	0.2840256	0.0005002	0.8283673	0.5262307	0.2067009	0.7506554	0.5731867	0.0129673	0.6815599	0.4290297	0.0027763	0.0053997	0.4786910	0.3568137	0.5800288	0.5030509	0.5121388	0.0269961	0.2745322	0.5874288	0.0293911	0.6118948	0.4178084	0.0540356	0.2583950	0.6946960	0.6227841	0.0595380	0.4103548	0.6418233	0.5184027	0.0195454	0.5458729	0.0548886	0.0073061	0.0000737	0.3370709	0.5437455	0.4457401	0.4850567	0.0000000	0.1049227	0.5853162	0.0000000	0.4970869	0.6509855	0.0019760	0.2370293	0.2550206	0.3010723	0.3979152	0.2732942	0.0908754	0.2929573	0.0205707	0.7137060
0.0045459	0.1165202	0.4022283	0.1521263	0.6384482	0.0024633	0.2943379	0.6098879	0.1009284	0.5438377	0.0010647	0.1478084	0.2834125	0.3177030	0.3034408	0.2062862	0.5417532	0.5277104	0.0444144	0.5376056	0.0956912	0.6087349	0.0000000	0.5722715	0.0000000	0.4533592	0.0250476	0.0582648	0.2819888	0.0000000	0.0708578	0.6237382	0.1468700	0.5551845	0.0007915	0.0263292	0.4377333	0.0149310	0.5172346	0.0496043	0.0150325	0.6341552	0.6432586	0.0989539	0.1400596	0.0283294	0.0175861	0.0191262	0.3456233	0.4946068	0.2418541	0.5565907	0.2803390	0.5667527	0.1329196	0.0487036	0.0007034	0.0000000	0.5038283	0.4303469	0.0717605	0.0419165	0.4348061	0.0069671	0.0584541	0.0336988	0.2304512	0.0000000	0.7279035	0.5858716	0.1555983	0.4448224	0.0935554	0.2642078	0.3457065	0.0000000	0.3764289	0.6236309	0.6138003	0.0706851	0.0976706	0.7097352	0.2476175	0.1299275	0.5584273	0.3152762	0.5407223	0.3076809	0.0032336	0.4285869	0.1756080	0.6134521	0.0000000	0.0000000	0.4924548	0.7241155	0.4132455	0.3745989	0.1415280	0.7205235
0.6297225	0.5120882	0.3982558	0.6631078	0.5959966	0.5823522	0.0638361	0.0614751	0.4942091	0.4322748	0.0009314	0.6768130	0.0000000	0.2589941	0.5258166	0.5847432	0.3967321	0.4655633	0.2730501	0.5617111	0.1121012	0.0047383	0.3331802	0.4315082	0.1114768	0.0535634	0.6936989	0.4611367	0.0338025	0.0070435	0.5627501	0.6884639	0.0293833	0.4635091	0.3902150	0.3145213	0.0918908	0.5686839	0.0968405	0.0094178	0.0004200	0.7589823	0.4097242	0.3145961	0.3416374	0.1016058	0.6054952	0.5418809	0.1327008	0.6890112	0.2220874	0.0132204	0.6789348	0.7029526	0.0084021	0.0110512	0.5251342	0.3997343	0.4501484	0.6683209	0.0017488	0.0265447	0.0095838	0.6235557	0.0000000	0.5940242	0.4087004	0.0000247	0.3693793	0.6369784	0.5474354	0.2753759	0.2977778	0.5486515	0.4527155	0.1058185	0.5195156	0.2206211	0.0217107	0.0689381	0.3719515	0.5799996	0.3890293	0.3795930	0.0463869	0.2112618	0.5692197	0.0000000	0.3557431	0.6515485	0.0538317	0.2809245	0.2363438	0.4650070	0.2757394	0.1152878	0.3136291	0.5916116	0.0011223	0.5548398
0.4437558	0.7385204	0.3716687	0.3812233	0.2674931	0.0050013	0.5046018	0.3792669	0.5604118	0.0000000	0.1599485	0.0173951	0.0000000	0.5655948	0.2636522	0.4789043	0.4963436	0.2574196	0.5534689	0.0000000	0.1393185	0.3120925	0.1002990	0.5914828	0.0595338	0.0258640	0.6388699	0.1667120	0.0404124	0.3711276	0.0937544	0.5476021	0.3089309	0.1206493	0.1694816	0.2224527	0.3707582	0.3042721	0.0720259	0.0023522	0.0095841	0.7506990	0.2931893	0.2316236	0.1798962	0.0584558	0.7155876	0.8216275	0.2830900	0.6789952	0.3190237	0.0249903	0.6470783	0.1660806	0.0029257	0.0033449	0.5831037	0.3385724	0.3685519	0.0476008	0.4236916	0.0001178	0.1741033	0.7631540	0.0000000	0.7638100	0.1894207	0.0296131	0.1211164	0.5989951	0.6044614	0.0000000	0.5181937	0.5107621	0.6816287	0.0989016	0.5553437	0.2580471	0.0000000	0.0707584	0.3212046	0.5159687	0.0972708	0.2272824	0.3994755	0.2940228	0.5811196	0.4699109	0.6903281	0.3312864	0.0578015	0.2682545	0.1722067	0.0027635	0.4503021	0.0792074	0.2259594	0.2647817	0.0378500	0.5635963
0.6289022	0.5021505	0.4444052	0.6500298	0.4982459	0.1788774	0.0000689	0.6728005	0.1044750	0.4474580	0.5998538	0.0005087	0.0000000	0.0625405	0.2337257	0.2954699	0.1033110	0.6710846	0.3483633	0.5956701	0.0449577	0.1027171	0.3652288	0.5571488	0.0000000	0.2090929	0.1854833	0.0097355	0.0742161	0.4178984	0.2544244	0.5140969	0.4558587	0.6654991	0.2119968	0.4006390	0.0102671	0.6324298	0.5667355	0.0186303	0.0164829	0.6515345	0.6381425	0.7595362	0.2327972	0.0009987	0.5753206	0.5419369	0.6425835	0.6043846	0.2736834	0.0081173	0.7965117	0.6066821	0.0037147	0.0323654	0.5441508	0.3506892	0.5231805	0.0000000	0.0970806	0.0070049	0.4888965	0.5889655	0.0044360	0.5690805	0.4370714	0.0000401	0.5413187	0.6136647	0.6681558	0.2572538	0.2924231	0.5697037	0.5698981	0.1050247	0.5081474	0.3232659	0.0153931	0.0000000	0.3105122	0.4070144	0.2937104	0.3385310	0.0000000	0.2710799	0.6331452	0.5534286	0.6067646	0.7339784	0.0592049	0.1215037	0.1723854	0.3385179	0.5166386	0.1394846	0.2026189	0.1098275	0.0024132	0.7008626
0.7539793	0.3199136	0.2214774	0.0265023	0.1341709	0.0015417	0.0371033	0.4229026	0.7086121	0.5878373	0.2546461	0.3228173	0.0312846	0.0774316	0.6573955	0.1617698	0.5052341	0.1322772	0.0116359	0.1921373	0.5255236	0.0413937	0.3144449	0.6853731	0.0000000	0.0095516	0.1538072	0.0105576	0.2603182	0.3713541	0.2022981	0.3260576	0.6052287	0.0649792	0.0013916	0.5575313	0.3392248	0.0017223	0.0150562	0.0254710	0.1706694	0.4530744	0.1840078	0.5706066	0.5204180	0.0855593	0.7237381	0.6715625	0.1864288	0.6048664	0.1828941	0.0208477	0.6817564	0.6532446	0.0019223	0.3860976	0.4872002	0.1795606	0.0994229	0.4425101	0.0006898	0.0154888	0.3289911	0.3550489	0.6611772	0.6568189	0.6963257	0.7308005	0.1918971	0.2596725	0.3927216	0.5888501	0.5932178	0.0022479	0.4420635	0.5967940	0.5600411	0.4140197	0.0050409	0.3632362	0.5731860	0.3988649	0.7847296	0.0008363	0.0000000	0.6085292	0.6713217	0.2093980	0.7305417	0.5837712	0.0794168	0.2194369	0.3140813	0.2094857	0.0823573	0.1144262	0.0000000	0.0771324	0.0657952	0.5951583
0.4419890	0.6565631	0.5331074	0.6037103	0.4931765	0.0100496	0.4479272	0.7271376	0.3248935	0.1151303	0.5140799	0.0770575	0.0209106	0.4290702	0.6099482	0.5690585	0.5029260	0.4500394	0.3914964	0.2583005	0.1099418	0.5067279	0.0304600	0.4037851	0.1163121	0.0520734	0.5654011	0.4980865	0.3301968	0.4034386	0.2735820	0.3261547	0.5407791	0.5960696	0.6112298	0.2400192	0.1101020	0.5564718	0.2858331	0.0083110	0.0132274	0.6263404	0.5357472	0.3173817	0.1705086	0.0003930	0.4660243	0.4973480	0.3822468	0.6940266	0.4779572	0.0002821	0.5769870	0.3799467	0.0010950	0.0000000	0.6242503	0.4681774	0.6100924	0.2849565	0.4427965	0.0741693	0.4505188	0.6124187	0.0650850	0.5425031	0.6631910	0.0652504	0.4326323	0.5954907	0.7058067	0.2165014	0.2840604	0.5619220	0.6416953	0.0000000	0.5859848	0.1869219	0.0201678	0.0001268	0.3958862	0.5682171	0.2984292	0.3647121	0.2528251	0.2522644	0.6882996	0.5805730	0.4738107	0.4664336	0.0173202	0.0728599	0.1797310	0.3540850	0.5705978	0.2425970	0.1046360	0.1512697	0.0074908	0.7106945
0.4969367	0.5755114	0.7000318	0.7446936	0.5193297	0.6005326	0.2212737	0.0000000	0.5750912	0.6165036	0.3644524	0.0979194	0.0243042	0.0039324	0.7044413	0.4343386	0.6229651	0.0046761	0.3870076	0.5620123	0.1109502	0.3720708	0.3886468	0.4781606	0.0205625	0.0837585	0.1313744	0.0143709	0.0552726	0.0000000	0.1758278	0.7799411	0.1389460	0.0299452	0.3874667	0.2941777	0.5427110	0.6717918	0.0491496	0.0059312	0.0004149	0.8267232	0.2724330	0.1774840	0.0426845	0.0673717	0.6416604	0.5089317	0.5068379	0.6485213	0.6462465	0.0000000	0.6964985	0.5459529	0.0015052	0.0160539	0.5980401	0.0000000	0.6376974	0.3953678	0.6359406	0.0325266	0.3750858	0.6183387	0.0620627	0.6221927	0.2718272	0.0009874	0.3184358	0.7081674	0.5127940	0.1751266	0.3395730	0.5063632	0.4774566	0.1452438	0.5445307	0.3054509	0.0191187	0.0292740	0.4917633	0.4667105	0.1470773	0.3349621	0.2969248	0.1781213	0.7165039	0.2481867	0.6743210	0.3938022	0.0211393	0.2685913	0.2204191	0.3107759	0.4723002	0.1337932	0.0000000	0.3929884	0.0102248	0.5493215
