YFL021W	YDR520C	YCR096C	YML113W	YJL110C	YCR040W	YKR034W	YPR199C	YER040W	YDL170W	YCR039C	YGL001C	YER190W	YDR084C	YER189W	YIR029W	YDL210W	YCR041W	YMR193W	YHR091C	YNL338W	YDR544C	YDR545W	YNL339C	YCR018CA	YCR019W	YNL337W	YER002W	YGR019W	YEL063C	YKR039W	YBL109W	YBL112C	YHR156C	YHR157W	YBL113C	YLR023C	YDR041W	YBL111C	YLR467W	YLR465C	YLR463C	YDR040C	YDR543C	YDR210WD	YCR105W	YNR068C	YBL018C	YNL143C	YHR037W	YBR006W	YIR005W	YDR210W	YIR032C	YNL142W	YBR208C	YMR257C	YHR029C	YOR348C	YOR375C	YBR102C	YIR028W	YBR166C	YBR103W	YLR082C	YLR142W	YHL016C	YKL178C	YMR098C	YIR031C	YJR110W	YJR109C	YMR087W	YMR086CA	YKR093W	YDR067C	YDR068W	YJL088W	YDR522C	YDR317W	YGR072W	YGR071C	YDR473C	YLR047C	YLR048W	YOL159C	YGR296W	YNL241C	YLL065W	YJR044C	YJR011C	YMR258C	YLR439W	YLL048C	YKL049C	YDR319C	YOR102W	YLR054C	YAL025C	YOL042W
0.5756469	0.7076120	0.0882020	0.3685571	0.5025881	0.5470010	0.4561288	0.7377009	0.8790435	0.2388800	0.3873889	0.1237746	0.6923159	0.4568765	0.2802754	0.5344653	0.2020655	0.0340092	0.5986503	0.4242021	0.5258277	0.1291455	0.4275859	0.4589125	0.5924961	0.6994904	0.1010014	0.3446639	0.6546509	0.2783133	0.0000516	0.0000000	0.2681044	0.0000000	0.6626163	0.5751696	0.4666810	0.7457173	0.0471228	0.2165272	0.7143928	0.0106964	0.0762780	0.1203790	0.5405090	0.1340154	0.4629920	0.5156017	0.0265844	0.5240163	0.0417132	0.2710502	0.0843938	0.4481340	0.6740836	0.4155460	0.4194387	0.1457779	0.2639640	0.2184476	0.0565002	0.0703067	0.7428562	0.0285442	0.2192187	0.6456057	0.4848188	0.1347404	0.4427261	0.3321813	0.0339956	0.5554268	0.6553971	0.4005914	0.0195115	0.5660404	0.0000000	0.0208900	0.0320638	0.5139158	0.6384657	0.3051809	0.6709723	0.3496443	0.5664689	0.4638983	0.0086066	0.4847932	0.2401186	0.6329891	0.0073843	0.1829662	0.0249541	0.0683466	0.0595429	0.6124194	0.7012736	0.3569125	0.0229513	0.1284702
0.5725001	0.4147583	0.3468588	0.6383208	0.6934692	0.6147267	0.3982926	0.2602650	0.5004050	0.5030273	0.3389235	0.1147934	0.4388682	0.2071718	0.0119005	0.4152057	0.0758290	0.0842638	0.5193644	0.0018319	0.5574206	0.0004459	0.4015241	0.0868627	0.6061019	0.6374408	0.0816332	0.1787099	0.3522481	0.6985963	0.0909953	0.1598126	0.1259109	0.3228167	0.8221851	0.5779121	0.2031035	0.7547842	0.3407812	0.0478791	0.5832373	0.5860335	0.0548382	0.3231431	0.1272035	0.2009872	0.7100449	0.3436034	0.0185326	0.4214556	0.1451615	0.5851701	0.1110960	0.6691371	0.6466268	0.3931475	0.3197309	0.6481878	0.0912350	0.2220628	0.4311206	0.6300900	0.2394528	0.4236378	0.1061607	0.4796162	0.3181251	0.5548195	0.0490200	0.1123707	0.0274410	0.3988220	0.6632504	0.5699546	0.1132037	0.6952543	0.0859294	0.0000000	0.1299439	0.3098420	0.6250115	0.5240286	0.7176179	0.2778983	0.0866192	0.1776171	0.0000103	0.5877723	0.7593288	0.2464896	0.0186087	0.0640737	0.0882640	0.0510434	0.0000000	0.5503408	0.5905470	0.5412058	0.5927681	0.4658438
0.6538111	0.4988297	0.1883784	0.5146964	0.6733448	0.3356974	0.4786213	0.5945395	0.6968282	0.3389763	0.3582491	0.3226320	0.1328655	0.2212284	0.3450021	0.3748524	0.0758172	0.1233812	0.6584484	0.0764066	0.0738200	0.0005484	0.1634353	0.3606895	0.5748546	0.1348973	0.1129739	0.1750900	0.7081402	0.2551643	0.0041580	0.0708058	0.2962822	0.4650349	0.0000000	0.8038535	0.4452039	0.6309236	0.1071777	0.3994443	0.7164593	0.1469776	0.1889271	0.5156923	0.6611764	0.5807594	0.3544664	0.5572013	0.0724497	0.6785465	0.6019148	0.1447127	0.0002990	0.4717072	0.5074686	0.2884381	0.3717578	0.1928646	0.1172058	0.0012827	0.0314391	0.2977799	0.3322709	0.1784963	0.6291470	0.2967281	0.2224519	0.6660607	0.4645373	0.6544488	0.1665097	0.6239783	0.6839323	0.4917364	0.0744785	0.7120154	0.0659073	0.0006141	0.0365853	0.3156820	0.6272398	0.5786921	0.6422259	0.1719506	0.1256216	0.1181718	0.0001950	0.5209969	0.4180884	0.7139368	0.0088238	0.1174078	0.0786838	0.0010203	0.4386483	0.7073199	0.5909302	0.7885993	0.3793638	0.3009292
0.5452702	0.4737222	0.2829461	0.6656114	0.6581757	0.6829889	0.6949903	0.0000000	0.6469725	0.1484240	0.3536550	0.5253069	0.3754758	0.0280820	0.1470809	0.5689322	0.5799746	0.5055000	0.2697017	0.4004537	0.1639232	0.0574485	0.2532138	0.2162310	0.6757055	0.2823207	0.3867014	0.2109072	0.6553814	0.1374166	0.3624577	0.1164372	0.3560640	0.3783931	0.6444472	0.6035043	0.0754420	0.6339356	0.0042839	0.5044671	0.7172613	0.4988862	0.3408923	0.5211430	0.3439847	0.5581603	0.2507555	0.2727629	0.1261558	0.6103612	0.0456162	0.3759395	0.1944102	0.5682826	0.6836360	0.3012047	0.1953004	0.5970210	0.0786624	0.0818731	0.0027969	0.1563293	0.5804476	0.3956240	0.0059132	0.5458871	0.3055876	0.0106204	0.0596963	0.6893480	0.2691143	0.4698364	0.6593934	0.0000000	0.0653287	0.5610386	0.0662608	0.0351161	0.0291332	0.5891287	0.3327478	0.6989048	0.5534102	0.4570626	0.5162895	0.1684639	0.0255724	0.4881805	0.0306761	0.5825544	0.0200027	0.1740476	0.2782151	0.0020226	0.0000000	0.6051223	0.6600001	0.5033136	0.2687336	0.2507847
0.5719424	0.4208496	0.4982965	0.6164131	0.1984546	0.4253564	0.2753283	0.6614500	0.6454256	0.3954090	0.5002126	0.0837543	0.4579923	0.6191833	0.2384962	0.5341504	0.2558747	0.3361156	0.2779920	0.1214077	0.6020777	0.0631610	0.0165849	0.5349914	0.7220104	0.5047106	0.6566615	0.4732038	0.5204305	0.6561690	0.1737260	0.2722681	0.2702965	0.4226229	0.6578655	0.0099169	0.1275381	0.5916480	0.6190461	0.6959230	0.5951305	0.3970325	0.5492008	0.7539433	0.5682973	0.1311467	0.3813731	0.0149874	0.0763680	0.5453830	0.3816709	0.2663760	0.1430984	0.1680927	0.1282820	0.4726301	0.3787893	0.3856303	0.6848164	0.0028089	0.0888410	0.0000000	0.3836517	0.0523133	0.6506276	0.1347200	0.5571574	0.3897323	0.6175997	0.7102702	0.2508730	0.5255819	0.4878195	0.6059167	0.0636037	0.6559371	0.0565488	0.0519419	0.0082726	0.4399470	0.4873593	0.4648959	0.1064812	0.1391303	0.5616620	0.0848955	0.0005955	0.2209271	0.2361495	0.7846439	0.0030046	0.0934963	0.0463741	0.0152913	0.5825612	0.4890631	0.5762113	0.8458039	0.6707405	0.0000000
0.5608728	0.4480578	0.2856294	0.6947856	0.6346817	0.3943918	0.6179252	0.7235693	0.3693390	0.6934303	0.6046449	0.2301708	0.5815080	0.0393123	0.5690807	0.2410347	0.0280467	0.0022550	0.4522919	0.0000393	0.2347370	0.0000797	0.2111694	0.6815881	0.2792186	0.0452995	0.2050108	0.1891373	0.3751996	0.5054637	0.4612783	0.0000336	0.1989921	0.3092053	0.5770000	0.7930370	0.5284430	0.6897791	0.4652488	0.1763309	0.6318418	0.7287803	0.6238542	0.3342316	0.5391719	0.5637056	0.3707040	0.0004808	0.0000000	0.3967365	0.6716591	0.0808001	0.0018762	0.6115283	0.0000000	0.1061200	0.5087846	0.6573081	0.0818617	0.5422745	0.6293682	0.4144754	0.1078699	0.2557713	0.6024922	0.1385853	0.5772212	0.0017318	0.5708208	0.0423866	0.2902710	0.2854039	0.5952023	0.3343106	0.1639963	0.5399618	0.0003056	0.1822917	0.1741666	0.3145849	0.5720888	0.7508377	0.5416066	0.1029804	0.4131542	0.2804600	0.0099395	0.6757567	0.5742180	0.6916553	0.0037583	0.0046669	0.4057716	0.0441430	0.4134134	0.6886405	0.6712411	0.4088703	0.0323726	0.1103234
0.6378470	0.6888220	0.6301357	0.4431709	0.2145318	0.6974780	0.2286434	0.4846224	0.3885584	0.6351935	0.4465675	0.0570903	0.1995147	0.8312658	0.5560072	0.5260887	0.5043914	0.0137351	0.6771179	0.1849871	0.1373855	0.1274540	0.2574792	0.4897066	0.6741353	0.0314778	0.4508101	0.4500705	0.3077023	0.6010126	0.1029757	0.0015282	0.1727042	0.3452537	0.5480351	0.0563582	0.2422782	0.5231094	0.5151728	0.4462644	0.6366228	0.2468082	0.6117039	0.0458883	0.4493341	0.1259511	0.3436753	0.0485855	0.0625730	0.5899399	0.6585538	0.4431817	0.0000000	0.2846172	0.6207582	0.5373388	0.2849174	0.6818725	0.6342998	0.4099696	0.2783025	0.3998900	0.4533050	0.0443339	0.0000000	0.2795348	0.2874626	0.4536685	0.4209840	0.1999988	0.2281877	0.4047000	0.5201126	0.0481971	0.1151166	0.5792720	0.0967932	0.0961586	0.0021493	0.0000000	0.1834945	0.4083216	0.1800085	0.0990928	0.1355015	0.2317364	0.0001107	0.6976624	0.6847089	0.3636204	0.0002831	0.1381358	0.0237244	0.5462763	0.0000000	0.6258076	0.6565502	0.4511821	0.3525969	0.3868182
0.5149328	0.5182534	0.1413431	0.7933885	0.3523199	0.6148872	0.6367736	0.4944090	0.6933071	0.3459542	0.3831066	0.3462041	0.2472972	0.2132797	0.2685172	0.6593105	0.4701968	0.0464944	0.2965530	0.3386208	0.5917423	0.0002590	0.4705996	0.7251107	0.5814783	0.6063825	0.2270114	0.1493728	0.6680566	0.7789003	0.2245291	0.1781875	0.1712727	0.4564424	0.5446417	0.6706667	0.5801912	0.1929345	0.1124716	0.2100596	0.5853085	0.4920937	0.0805849	0.2384746	0.5352914	0.3322881	0.2698262	0.3953226	0.1163177	0.5344912	0.0433205	0.1729940	0.1581808	0.4041595	0.2871164	0.2393619	0.7679545	0.2052945	0.1245193	0.2552059	0.0244044	0.1480641	0.5565596	0.3910044	0.6768619	0.0000000	0.0120027	0.0000818	0.3415707	0.6134240	0.1729474	0.4278761	0.6746250	0.2765904	0.0000000	0.5846965	0.0342503	0.0007994	0.0433717	0.4825276	0.6357852	0.4624407	0.6331805	0.1395085	0.5828108	0.5412264	0.0160312	0.5846259	0.2840980	0.6234394	0.0100593	0.1200028	0.5221054	0.0000000	0.1241109	0.4945633	0.5420990	0.5827924	0.2018546	0.0000000
0.7713560	0.8299161	0.2003946	0.0911970	0.5278967	0.7918465	0.3327298	0.6867719	0.5855043	0.0288022	0.5863253	0.2496717	0.0722926	0.5393636	0.2938176	0.6283093	0.3818897	0.6159262	0.3380649	0.0013408	0.0823985	0.2103887	0.3727212	0.5010214	0.6769662	0.2938882	0.5048899	0.3487663	0.5012853	0.7449108	0.3987591	0.2195039	0.3403115	0.3397102	0.5692189	0.5407184	0.4866822	0.5902926	0.7651466	0.5238434	0.3911739	0.6319086	0.3730350	0.5903287	0.5243153	0.6034634	0.1105025	0.4499833	0.0000000	0.4945770	0.0366348	0.1592475	0.1241373	0.6250670	0.4059755	0.3197606	0.6512623	0.6453529	0.1272290	0.0000000	0.0642743	0.3671937	0.6103346	0.0253572	0.1809642	0.4823216	0.0532740	0.0008005	0.5743591	0.5453410	0.1645657	0.4505095	0.4924171	0.2319020	0.0502983	0.5848163	0.0000693	0.0719049	0.0937937	0.3008462	0.6486536	0.1312583	0.1233135	0.1659437	0.4522386	0.5890913	0.0001005	0.7716451	0.0447538	0.5955648	0.0405654	0.2275410	0.4888021	0.0261809	0.7594877	0.4871841	0.7140603	0.4398144	0.5346153	0.4248304
0.6611891	0.8291089	0.5842074	0.2430633	0.3190336	0.3072572	0.6648994	0.5899136	0.6723300	0.2939476	0.6375013	0.0013356	0.6505643	0.3331545	0.0068804	0.6733671	0.3985321	0.4795217	0.3273227	0.4038264	0.0601694	0.0737742	0.0589662	0.5371677	0.6638899	0.1924032	0.5515997	0.4160989	0.6037758	0.6711817	0.0813919	0.1276657	0.2379995	0.0215058	0.0460085	0.6309526	0.6093409	0.5989257	0.2505687	0.3281229	0.5682891	0.0024093	0.0388163	0.5321184	0.5988943	0.2652703	0.3466650	0.1400064	0.0000000	0.6218532	0.1380821	0.1486704	0.0022152	0.4606820	0.4351162	0.2602330	0.6323401	0.1133926	0.2058929	0.2492366	0.0088197	0.0169614	0.1677137	0.4061549	0.7629875	0.0042655	0.0122034	0.0069115	0.6463055	0.5217785	0.1313057	0.4765666	0.5487362	0.3324764	0.0397564	0.7276393	0.0389135	0.0494323	0.0373784	0.3713919	0.5415043	0.2731029	0.6013070	0.5179156	0.3571083	0.5802197	0.0002488	0.6349080	0.6803516	0.5398725	0.0617962	0.1098901	0.0547086	0.2236802	0.3858453	0.4712446	0.6471293	0.4632424	0.3399680	0.3701226
