YKR034W	YCR040W	YJL110C	YCR096C	YFL021W	YPR199C	YER040W	YDL170W	YDR520C	YML113W	YCR039C	YGL001C	YER190W	YDR084C	YER189W	YIR029W	YDL210W	YCR041W	YMR193W	YHR091C	YNL338W	YDR544C	YNL339C	YDR545W	YCR019W	YCR018CA	YNL337W	YER002W	YGR019W	YKR039W	YEL063C	YBL113C	YBL112C	YBL109W	YHR157W	YHR156C	YLR023C	YDR041W	YBL111C	YLR465C	YDR040C	YLR463C	YLR467W	YDR543C	YDR210WD	YCR105W	YNR068C	YBL018C	YNL143C	YBR006W	YIR032C	YIR005W	YHR037W	YDR210W	YMR257C	YBR208C	YNL142W	YHR029C	YOR348C	YBR103W	YBR102C	YBR166C	YIR028W	YOR375C	YLR142W	YLR082C	YIR031C	YKL178C	YHL016C	YMR098C	YJR110W	YJR109C	YMR086CA	YKR093W	YMR087W	YDR522C	YDR067C	YDR317W	YJL088W	YDR068W	YGR072W	YLR048W	YDR473C	YGR071C	YLR047C	YGR296W	YOL159C	YNL241C	YLL065W	YJR011C	YLR439W	YJR044C	YMR258C	YLR265C	YDR319C	YLL048C	YBR268W	YOL042W	YGL004C	YBR266C
0.1761260	0.7771915	0.4908330	0.0000000	0.0950779	0.6441633	0.6925417	0.8780842	0.6720340	0.0000000	0.4732184	0.6944780	0.5864486	0.0033289	0.6500403	0.4490353	0.3300624	0.2687186	0.1373692	0.0006054	0.3181576	0.4029748	0.2653727	0.8253550	0.5252810	0.6580493	0.3749284	0.0000000	0.1090307	0.4529133	0.3942392	0.4746364	0.2182970	0.4873099	0.2458838	0.7694898	0.5064024	0.0005343	0.2015156	0.2223717	0.6300414	0.0000000	0.0000000	0.3204358	0.6208717	0.5113606	0.4660986	0.3115204	0.3914151	0.0047649	0.6843733	0.5437232	0.2768552	0.0531030	0.3137611	0.0126163	0.0001346	0.1159715	0.6812249	0.0639819	0.2906063	0.3812524	0.2517147	0.2747883	0.5551284	0.1170166	0.0885313	0.5930915	0.3715571	0.0136285	0.3906822	0.5900099	0.7514408	0.1699757	0.5405444	0.0000944	0.6486742	0.6072490	0.1480882	0.3984112	0.6978178	0.1783918	0.6098009	0.6034143	0.5144544	0.6995513	0.0303710	0.3215130	0.7727152	0.3419333	0.0000000	0.0547402	0.3518807	0.6761467	0.4207975	0.3131730	0.6881078	0.0011945	0.7048461	0.2228581
0.2301981	0.1368312	0.0335502	0.0037912	0.0368979	0.7380552	0.7226719	0.6676671	0.6661326	0.5159358	0.0020247	0.0000000	0.5596706	0.0017840	0.5363519	0.5145422	0.0174035	0.2374361	0.0095280	0.0023763	0.0048983	0.6654528	0.0016933	0.4544829	0.2153618	0.3254688	0.5647750	0.0025509	0.1770627	0.4448264	0.4893246	0.7254691	0.7965201	0.0546820	0.4275196	0.6013327	0.1364266	0.0060524	0.3161620	0.6850809	0.2300778	0.1223935	0.6333228	0.3909211	0.0000000	0.0836332	0.5544791	0.1627771	0.0604194	0.1426854	0.6828800	0.0451203	0.7223631	0.3113922	0.2761854	0.0921231	0.5571202	0.4593023	0.5944408	0.3173387	0.2068313	0.4897297	0.1597491	0.2386647	0.1573040	0.5444396	0.1815195	0.4972375	0.3834103	0.1421471	0.0000000	0.7423673	0.6541397	0.6205333	0.7640196	0.1850083	0.2411448	0.7198314	0.2178937	0.0012838	0.4305158	0.1785469	0.0031682	0.1087915	0.2862858	0.7219854	0.0062812	0.1703267	0.7146503	0.4420534	0.3119120	0.0599971	0.4312053	0.0038107	0.1535890	0.7360863	0.0000000	0.0652924	0.8136833	0.0186550
0.1058922	0.8651246	0.1551578	0.0009690	0.0589912	0.6371435	0.6095949	0.6392342	0.4251994	0.6785214	0.0458731	0.8081917	0.6530257	0.4223758	0.0385023	0.2844355	0.0034847	0.2528742	0.0124369	0.0018471	0.4245485	0.2179148	0.2932393	0.6996409	0.1901251	0.2257830	0.7257138	0.0128516	0.0544434	0.7506271	0.6477072	0.2398860	0.2768593	0.3600755	0.0411016	0.4350639	0.0739640	0.0007188	0.0514925	0.6458131	0.5194059	0.2411071	0.2109697	0.1062582	0.0000000	0.6256969	0.6750426	0.7415917	0.1208232	0.0014258	0.6311662	0.0492287	0.0135944	0.0035013	0.6082350	0.0071962	0.0000066	0.4139312	0.2793723	0.6082498	0.4763164	0.1191635	0.0462953	0.2355022	0.4895237	0.6578436	0.2990247	0.5407290	0.3862791	0.0052063	0.1143427	0.5691513	0.5496380	0.6447132	0.6398193	0.0000279	0.7499566	0.5723530	0.1979732	0.1765679	0.2827719	0.0000000	0.7501991	0.3329796	0.7419538	0.7191661	0.6422306	0.0000181	0.5571355	0.1130479	0.2579489	0.0509818	0.4234042	0.5387642	0.0000000	0.4828252	0.5930527	0.0459238	0.7081295	0.4492489
0.0700401	0.2163887	0.0000000	0.0216560	0.3173699	0.2931730	0.0000000	0.4470939	0.5176276	0.6732629	0.0004916	0.2609021	0.3954467	0.0008780	0.7119899	0.4241775	0.3354993	0.6404977	0.3463789	0.3339175	0.4059409	0.3875576	0.4456601	0.4003516	0.0000279	0.6346224	0.5725271	0.6883146	0.6567211	0.0000000	0.7211718	0.3995258	0.0000000	0.2285349	0.1440102	0.6818635	0.7838625	0.0033843	0.4477331	0.1826439	0.0044649	0.0462538	0.5037922	0.2861385	0.1073008	0.0328365	0.7361694	0.2946966	0.6490348	0.1508732	0.8259363	0.2869143	0.3837001	0.2292828	0.5451610	0.0176888	0.1503748	0.6110287	0.4025588	0.2878761	0.0068143	0.1429729	0.6300923	0.0000000	0.0000000	0.5975549	0.6500990	0.3697020	0.5141963	0.1886685	0.2481544	0.1261715	0.3698157	0.0000981	0.5435491	0.0919150	0.3771872	0.0000000	0.2253502	0.1858761	0.3035044	0.4438185	0.0029153	0.2299227	0.4275494	0.6609796	0.4637924	0.0148672	0.4614210	0.2892032	0.1047625	0.0002681	0.0449119	0.3063172	0.0000000	0.4518885	0.1648012	0.0924645	0.1970576	0.7924813
0.0035485	0.7552007	0.6556126	0.3914323	0.6154282	0.2565328	0.1995827	0.3419226	0.1855726	0.8601038	0.3674179	0.6468711	0.6589743	0.4860070	0.6774936	0.6019889	0.0297382	0.5876941	0.4340122	0.2014147	0.0806128	0.6174989	0.3967406	0.3323076	0.4052928	0.5333690	0.7889137	0.3376167	0.1638205	0.7423762	0.7114680	0.4235555	0.7733131	0.2341409	0.0000805	0.6764422	0.6484553	0.0017974	0.2001129	0.7462936	0.0003892	0.6687348	0.5259222	0.6769453	0.1592545	0.4613577	0.2268003	0.3600633	0.6840720	0.1897891	0.4283500	0.0000000	0.3488736	0.1143936	0.7344958	0.2229098	0.0256568	0.5797550	0.1092395	0.2437265	0.3123342	0.4994499	0.4783409	0.6469467	0.4893206	0.2140655	0.0002163	0.6523118	0.5307213	0.4535720	0.3236628	0.0012354	0.0034340	0.2361541	0.0570579	0.5399791	0.6861415	0.0195837	0.1733163	0.6817371	0.1507415	0.0000000	0.0000215	0.4020624	0.2255260	0.6852802	0.4727670	0.5798991	0.7031295	0.0896415	0.6907149	0.2362923	0.0002004	0.6674433	0.0535635	0.2244802	0.0312002	0.0000000	0.3205418	0.6273781
0.5482443	0.2300097	0.1871729	0.4727985	0.4176155	0.0000000	0.6631336	0.8252118	0.0764584	0.7085329	0.2767707	0.0000000	0.6706207	0.3343507	0.2290763	0.1619750	0.5283314	0.0160364	0.6006542	0.5866111	0.0488956	0.1860581	0.0058879	0.5910930	0.3155800	0.2932425	0.6063137	0.3449501	0.5133353	0.3446047	0.0288892	0.0447039	0.0882920	0.6276683	0.0012556	0.1202569	0.2747401	0.2784660	0.1140069	0.6257594	0.0010861	0.6558026	0.5522785	0.3048432	0.0011686	0.5739493	0.1598056	0.5215527	0.0924369	0.0000000	0.6016356	0.0000000	0.3427829	0.5577348	0.1515599	0.5493601	0.5711048	0.0170642	0.5074750	0.5521471	0.0596023	0.1106711	0.0124071	0.0125606	0.5789671	0.5829430	0.0000465	0.5649539	0.0309362	0.0926300	0.0093108	0.0001043	0.1493387	0.2460473	0.4894303	0.0002440	0.0032335	0.0564137	0.0560395	0.1803470	0.0000000	0.3010144	0.5003099	0.5219891	0.4574875	0.7390448	0.2582550	0.2432631	0.5711023	0.0267686	0.0438628	0.0123276	0.0956538	0.2364135	0.0000000	0.5338636	0.0104505	0.0000322	0.4941403	0.6304284
0.6408971	0.3573822	0.2493608	0.0000000	0.4038826	0.7911277	0.6535778	0.7465483	0.6212054	0.0000000	0.0084299	0.8163875	0.5820567	0.2580713	0.6515594	0.2998120	0.2648366	0.4319729	0.5198692	0.0188392	0.1047860	0.5187043	0.1527500	0.3578877	0.5255843	0.6653743	0.7311762	0.0000000	0.5351282	0.7220006	0.0156540	0.2303403	0.2283960	0.3563736	0.6927617	0.5458814	0.1731681	0.0017115	0.0056823	0.2302781	0.5192837	0.3294832	0.0000000	0.3260310	0.0000000	0.3338229	0.6376855	0.5635261	0.6278058	0.0522289	0.7431259	0.1969523	0.4205559	0.5827517	0.6918344	0.2757853	0.0798947	0.1082107	0.7817468	0.0530710	0.0395455	0.0511255	0.0065061	0.0072122	0.7840698	0.5403000	0.1262572	0.3519610	0.0529371	0.1089090	0.2103035	0.5070112	0.6881302	0.0017111	0.4274105	0.4829661	0.0083613	0.4342395	0.0000000	0.6846322	0.3691351	0.1675139	0.0086169	0.7104880	0.6378921	0.6166024	0.6566658	0.1493942	0.5441778	0.0748657	0.1232891	0.0000000	0.0571539	0.2357633	0.0830112	0.1905229	0.0276963	0.0762767	0.3408158	0.6237856
0.5624091	0.2578532	0.2629186	0.3066668	0.6384208	0.7439239	0.7167498	0.7036414	0.7388780	0.0000000	0.7116426	0.6808270	0.4701950	0.3531221	0.2781118	0.1170924	0.2624039	0.6892791	0.4191924	0.0016934	0.3852167	0.4503495	0.1122333	0.6011848	0.5744732	0.1774766	0.5614274	0.4426761	0.0000000	0.3591775	0.0149370	0.6180203	0.1438612	0.1486843	0.2145398	0.5286728	0.5043289	0.4532938	0.1592712	0.7334954	0.4163163	0.0000000	0.2255891	0.5731716	0.0401894	0.1566557	0.5789877	0.6716468	0.3619863	0.0000137	0.7004198	0.1499794	0.3843092	0.6266891	0.5501188	0.1946379	0.2524402	0.0887749	0.6794352	0.0371197	0.4637148	0.1225980	0.0792836	0.1459856	0.7253812	0.1383377	0.1450060	0.1565601	0.0667785	0.1391580	0.1340206	0.4897702	0.5674824	0.3267083	0.5432980	0.1092100	0.0224150	0.1625441	0.0776369	0.0671509	0.0902143	0.4801288	0.0572955	0.0000000	0.0298166	0.4272465	0.6121136	0.1310337	0.7700407	0.3693358	0.0957047	0.0654384	0.0996035	0.0716149	0.0132423	0.3589408	0.0000000	0.0565147	0.4289288	0.6470543
0.5469841	0.5252673	0.0000000	0.0000441	0.6652155	0.7122623	0.0000000	0.0000000	0.7631833	0.0881909	0.4450285	0.2661827	0.3762222	0.6246397	0.8441036	0.7139000	0.4670991	0.4006093	0.5996913	0.5218762	0.0979256	0.6236514	0.0000000	0.0000000	0.4182774	0.2078931	0.4735866	0.6840160	0.5072885	0.4557343	0.3538972	0.6053040	0.0365823	0.6390632	0.0000000	0.3769913	0.3591217	0.0377059	0.3309871	0.0000000	0.0001763	0.4091888	0.0000000	0.2106045	0.2665388	0.5747191	0.6780320	0.7748490	0.4896189	0.3663315	0.3720978	0.0096743	0.3808188	0.0000000	0.2452390	0.7146278	0.5868826	0.5767059	0.6206382	0.0000000	0.1098752	0.4926429	0.3111541	0.4342385	0.6342618	0.1115311	0.2343359	0.7091196	0.4141830	0.2997974	0.0366696	0.0000000	0.6652302	0.0000000	0.3777033	0.6151131	0.0084438	0.4559723	0.1968337	0.6130719	0.3598920	0.7127448	0.0670855	0.2194401	0.0322855	0.3072820	0.4541588	0.0000000	0.1519207	0.0285307	0.3724093	0.3600582	0.2703212	0.4980675	0.0855033	0.6674441	0.0738047	0.0006452	0.0000000	0.5936497
0.0018497	0.1146868	0.0414130	0.1957154	0.3507971	0.3288451	0.0000000	0.0000000	0.5775340	0.7328650	0.2611487	0.6737719	0.4550224	0.3560540	0.0428985	0.7690885	0.0000000	0.2771323	0.2201038	0.3482603	0.0639229	0.3801356	0.0005793	0.7211463	0.6113537	0.4828783	0.0206806	0.7320191	0.5977127	0.4278968	0.7137129	0.2595080	0.6097282	0.4548236	0.0000000	0.0000000	0.2692872	0.0000000	0.7565706	0.6710912	0.1875799	0.4495277	0.6777300	0.0065863	0.6021677	0.4763041	0.6883372	0.0597939	0.8140998	0.0000000	0.0000000	0.2530566	0.1951695	0.3349556	0.5847372	0.3694152	0.3490791	0.2299800	0.4402494	0.0000000	0.4650288	0.4544726	0.8269103	0.6440101	0.4941551	0.7668298	0.0000000	0.4424773	0.0000000	0.1732892	0.1706371	0.0009467	0.2074775	0.0000000	0.1187530	0.0751023	0.6216907	0.2911054	0.1781802	0.7170415	0.2304209	0.5462433	0.4205506	0.2326605	0.2955219	0.4898627	0.6067213	0.3659391	0.4316097	0.2262576	0.5048332	0.0399606	0.0054223	0.0993479	0.0899365	0.6302994	0.0732043	0.0000000	0.4717587	0.7227166
